date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2018-12-07 00:00:00+00:00,102.51,91.10,-11.13,60,1.013771
2018-12-08 00:00:00+00:00,91.10,92.97,2.05,0,1.085769
2018-12-09 00:00:00+00:00,92.97,90.68,-2.46,0,1.065230
2018-12-10 00:00:00+00:00,90.68,93.53,3.15,0,1.090119
2018-12-11 00:00:00+00:00,93.53,89.85,-3.93,0,1.057591
2018-12-12 00:00:00+00:00,89.85,87.85,-2.23,0,1.066328
2018-12-13 00:00:00+00:00,87.85,89.38,1.74,0,1.084433
2018-12-14 00:00:00+00:00,89.38,85.96,-3.83,0,1.058096
2018-12-15 00:00:00+00:00,85.96,83.79,-2.53,0,1.064827
2018-12-16 00:00:00+00:00,83.79,83.83,0.05,0,1.077160
2018-12-17 00:00:00+00:00,83.83,84.47,0.76,0,1.080279
2018-12-18 00:00:00+00:00,84.47,94.07,11.37,0,1.116008
2018-12-19 00:00:00+00:00,94.07,100.05,6.35,0,1.101667
2018-12-20 00:00:00+00:00,100.05,99.49,-0.56,0,1.074352
2018-12-21 00:00:00+00:00,99.49,114.43,15.01,0,1.123899
2018-12-22 00:00:00+00:00,114.43,107.85,-5.75,0,1.047737
2018-12-23 00:00:00+00:00,107.85,115.05,6.67,0,1.102713
2018-12-24 00:00:00+00:00,115.05,129.21,12.31,0,1.117961
2018-12-25 00:00:00+00:00,129.21,138.96,7.55,0,1.105391
2018-12-26 00:00:00+00:00,138.96,127.64,-8.15,0,1.033572
2018-12-27 00:00:00+00:00,127.64,129.51,1.47,0,1.083331
2018-12-28 00:00:00+00:00,129.51,114.10,-11.90,116,1.008074
2018-12-29 00:00:00+00:00,114.10,134.02,17.46,0,1.127898
2018-12-30 00:00:00+00:00,134.02,138.75,3.53,0,1.091645
2018-12-31 00:00:00+00:00,138.75,137.63,-0.81,0,1.073200
2019-01-01 00:00:00+00:00,137.63,131.46,-4.49,0,1.054877
2019-01-02 00:00:00+00:00,131.46,138.14,5.09,0,1.097311
2019-01-03 00:00:00+00:00,138.14,152.86,10.65,0,1.113927
2019-01-04 00:00:00+00:00,152.86,146.73,-4.01,0,1.057139
2019-01-05 00:00:00+00:00,146.73,153.06,4.31,0,1.094505
2019-01-06 00:00:00+00:00,153.06,153.65,0.39,0,1.078655
2019-01-07 00:00:00+00:00,153.65,154.70,0.68,0,1.079954
2019-01-08 00:00:00+00:00,154.70,149.90,-3.10,0,1.062016
2019-01-09 00:00:00+00:00,149.90,148.15,-1.17,0,1.071532
2019-01-10 00:00:00+00:00,148.15,148.74,0.40,0,1.078712
2019-01-11 00:00:00+00:00,148.74,126.62,-14.87,380,0.985934
2019-01-12 00:00:00+00:00,126.62,124.63,-1.58,0,1.069596
2019-01-13 00:00:00+00:00,124.63,123.76,-0.70,0,1.073718
2019-01-14 00:00:00+00:00,123.76,114.77,-7.27,0,1.038210
2019-01-15 00:00:00+00:00,114.77,127.41,11.01,0,1.115005
2019-01-16 00:00:00+00:00,127.41,119.81,-5.96,0,1.046446
2019-01-17 00:00:00+00:00,119.81,122.25,2.03,0,1.085650
2019-01-18 00:00:00+00:00,122.25,121.93,-0.26,0,1.075742
2019-01-19 00:00:00+00:00,121.93,119.17,-2.26,0,1.066209
2019-01-20 00:00:00+00:00,119.17,122.93,3.15,0,1.090117
2019-01-21 00:00:00+00:00,122.93,117.61,-4.33,0,1.055528
2019-01-22 00:00:00+00:00,117.61,115.83,-1.51,0,1.069864
2019-01-23 00:00:00+00:00,115.83,117.82,1.72,0,1.084353
2019-01-24 00:00:00+00:00,117.82,116.42,-1.19,0,1.071418
2019-01-25 00:00:00+00:00,116.42,116.25,-0.15,0,1.076257
2019-01-26 00:00:00+00:00,116.25,115.15,-0.94,0,1.072568
2019-01-27 00:00:00+00:00,115.15,115.34,0.16,0,1.077659
2019-01-28 00:00:00+00:00,115.34,112.51,-2.45,0,1.065381
2019-01-29 00:00:00+00:00,112.51,105.35,-6.36,0,1.043759
2019-01-30 00:00:00+00:00,105.35,104.60,-0.72,0,1.073641
2019-01-31 00:00:00+00:00,104.60,108.27,3.51,0,1.091584
2019-02-01 00:00:00+00:00,108.27,106.34,-1.79,0,1.068522
2019-02-02 00:00:00+00:00,106.34,107.01,0.63,0,1.079721
2019-02-03 00:00:00+00:00,107.01,108.78,1.65,0,1.084100
2019-02-04 00:00:00+00:00,108.78,107.20,-1.45,0,1.070174
2019-02-05 00:00:00+00:00,107.20,107.62,0.39,0,1.078669
2019-02-06 00:00:00+00:00,107.62,107.32,-0.28,0,1.075648
2019-02-07 00:00:00+00:00,107.32,104.62,-2.51,0,1.064942
2019-02-08 00:00:00+00:00,104.62,104.27,-0.34,0,1.075369
2019-02-09 00:00:00+00:00,104.27,119.33,14.45,0,1.122648
2019-02-10 00:00:00+00:00,119.33,119.49,0.13,0,1.077514
2019-02-11 00:00:00+00:00,119.49,124.89,4.52,0,1.095308
2019-02-12 00:00:00+00:00,124.89,120.97,-3.14,0,1.061764
2019-02-13 00:00:00+00:00,120.97,122.54,1.30,0,1.082609
2019-02-14 00:00:00+00:00,122.54,122.09,-0.37,0,1.075254
2019-02-15 00:00:00+00:00,122.09,120.59,-1.23,0,1.071255
2019-02-16 00:00:00+00:00,120.59,121.57,0.81,0,1.080522
2019-02-17 00:00:00+00:00,121.57,122.94,1.12,0,1.081860
2019-02-18 00:00:00+00:00,122.94,133.88,8.90,0,1.109443
2019-02-19 00:00:00+00:00,133.88,145.33,8.55,0,1.108548
2019-02-20 00:00:00+00:00,145.33,143.66,-1.15,0,1.071629
2019-02-21 00:00:00+00:00,143.66,148.87,3.63,0,1.091929
2019-02-22 00:00:00+00:00,148.87,145.30,-2.40,0,1.065496
2019-02-23 00:00:00+00:00,145.30,148.04,1.89,0,1.085099
2019-02-24 00:00:00+00:00,148.04,157.68,6.51,0,1.102095
2019-02-25 00:00:00+00:00,157.68,134.32,-14.81,377,0.986374
2019-02-26 00:00:00+00:00,134.32,137.82,2.61,0,1.088025
2019-02-27 00:00:00+00:00,137.82,136.00,-1.32,0,1.070780
2019-02-28 00:00:00+00:00,136.00,134.85,-0.84,0,1.073057
2019-03-01 00:00:00+00:00,134.85,135.49,0.48,0,1.079039
2019-03-02 00:00:00+00:00,135.49,134.95,-0.40,0,1.075129
2019-03-03 00:00:00+00:00,134.95,132.41,-1.89,0,1.067994
2019-03-04 00:00:00+00:00,132.41,130.54,-1.41,0,1.070326
2019-03-05 00:00:00+00:00,130.54,125.62,-3.77,0,1.058475
2019-03-06 00:00:00+00:00,125.62,136.55,8.70,0,1.108983
2019-03-07 00:00:00+00:00,136.55,137.33,0.57,0,1.079459
2019-03-08 00:00:00+00:00,137.33,136.79,-0.39,0,1.075133
2019-03-09 00:00:00+00:00,136.79,133.54,-2.37,0,1.065645
2019-03-10 00:00:00+00:00,133.54,137.20,2.74,0,1.088532
2019-03-11 00:00:00+00:00,137.20,135.62,-1.15,0,1.071631
2019-03-12 00:00:00+00:00,135.62,132.39,-2.38,0,1.065660
2019-03-13 00:00:00+00:00,132.39,133.29,0.68,0,1.079959
2019-03-14 00:00:00+00:00,133.29,131.67,-1.21,0,1.071291
2019-03-15 00:00:00+00:00,131.67,132.15,0.36,0,1.078545
2019-03-16 00:00:00+00:00,132.15,136.45,3.26,0,1.090535
2019-03-17 00:00:00+00:00,136.45,141.09,3.40,0,1.091104
2019-03-18 00:00:00+00:00,141.09,138.55,-1.80,0,1.068468
2019-03-19 00:00:00+00:00,138.55,137.66,-0.64,0,1.073973
2019-03-20 00:00:00+00:00,137.66,138.52,0.63,0,1.079716
2019-03-21 00:00:00+00:00,138.52,139.08,0.40,0,1.078707
2019-03-22 00:00:00+00:00,139.08,135.06,-2.89,0,1.063050
2019-03-23 00:00:00+00:00,135.06,136.10,0.77,0,1.080346
2019-03-24 00:00:00+00:00,136.10,137.20,0.81,0,1.080486
2019-03-25 00:00:00+00:00,137.20,136.06,-0.83,0,1.073122
2019-03-26 00:00:00+00:00,136.06,133.82,-1.65,0,1.069253
2019-03-27 00:00:00+00:00,133.82,134.03,0.16,0,1.077638
2019-03-28 00:00:00+00:00,134.03,139.64,4.18,0,1.094031
2019-03-29 00:00:00+00:00,139.64,137.81,-1.31,0,1.070882
2019-03-30 00:00:00+00:00,137.81,143.15,3.87,0,1.092875
2019-03-31 00:00:00+00:00,143.15,142.29,-0.60,0,1.074223
2019-04-01 00:00:00+00:00,142.29,141.59,-0.49,0,1.074680
2019-04-02 00:00:00+00:00,141.59,141.51,-0.05,0,1.076682
2019-04-03 00:00:00+00:00,141.51,164.05,15.92,0,1.125716
2019-04-04 00:00:00+00:00,164.05,160.43,-2.21,0,1.066438
2019-04-05 00:00:00+00:00,160.43,157.41,-1.88,0,1.068066
2019-04-06 00:00:00+00:00,157.41,165.14,4.91,0,1.096692
